title,content,date,variant,images,verified,author,rating,product,url,sentiment
It reduces our time to charge,Samsung M33 phone charging,2023-02-11,,,Yes,Amazon Customer,5.0,Original 25W Charger Super Fast Charging Charger Adapter Smartphone Charger Compatible for Samsung Galaxy S21/S21+/S21 Ultra/S20/S20+/S20 Ultra/ M51/M42/F23 5G/M53 5G/M52 5G/M33 (Only Adapter)-White,https://www.amazon.in/Original-Charger-Charging-Smartphone-Compatible/product-reviews/B0BLNFYF8H/?_encoding=UTF8&pd_rd_w=HgA4p&content-id=amzn1.sym.730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_p=730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_r=8NF2H16EMS6544MKW0VN&pd_rd_wg=rgu9C&pd_rd_r=f49bb855-154d-4e5a-96e2-2762df75eea4&ref_=pd_gw_ci_mcx_mr_hp_atf_m&pageNumber=1,0
Awesome,Fast charging hota lekin charger thoda hit rehta hai but chalega,2023-01-26,,,Yes,Akshya Singh,5.0,Original 25W Charger Super Fast Charging Charger Adapter Smartphone Charger Compatible for Samsung Galaxy S21/S21+/S21 Ultra/S20/S20+/S20 Ultra/ M51/M42/F23 5G/M53 5G/M52 5G/M33 (Only Adapter)-White,https://www.amazon.in/Original-Charger-Charging-Smartphone-Compatible/product-reviews/B0BLNFYF8H/?_encoding=UTF8&pd_rd_w=HgA4p&content-id=amzn1.sym.730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_p=730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_r=8NF2H16EMS6544MKW0VN&pd_rd_wg=rgu9C&pd_rd_r=f49bb855-154d-4e5a-96e2-2762df75eea4&ref_=pd_gw_ci_mcx_mr_hp_atf_m&pageNumber=2,0
Item is perfect,Item is per fect,2022-12-21,,,Yes,Bhoora thagela,5.0,Original 25W Charger Super Fast Charging Charger Adapter Smartphone Charger Compatible for Samsung Galaxy S21/S21+/S21 Ultra/S20/S20+/S20 Ultra/ M51/M42/F23 5G/M53 5G/M52 5G/M33 (Only Adapter)-White,https://www.amazon.in/Original-Charger-Charging-Smartphone-Compatible/product-reviews/B0BLNFYF8H/?_encoding=UTF8&pd_rd_w=HgA4p&content-id=amzn1.sym.730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_p=730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_r=8NF2H16EMS6544MKW0VN&pd_rd_wg=rgu9C&pd_rd_r=f49bb855-154d-4e5a-96e2-2762df75eea4&ref_=pd_gw_ci_mcx_mr_hp_atf_m&pageNumber=3,0
Nice Product,Fast charging,2022-12-17,,https://m.media-amazon.com/images/I/61phM5ua0CL._SY88.jpg,Yes,Suhit,5.0,Original 25W Charger Super Fast Charging Charger Adapter Smartphone Charger Compatible for Samsung Galaxy S21/S21+/S21 Ultra/S20/S20+/S20 Ultra/ M51/M42/F23 5G/M53 5G/M52 5G/M33 (Only Adapter)-White,https://www.amazon.in/Original-Charger-Charging-Smartphone-Compatible/product-reviews/B0BLNFYF8H/?_encoding=UTF8&pd_rd_w=HgA4p&content-id=amzn1.sym.730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_p=730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_r=8NF2H16EMS6544MKW0VN&pd_rd_wg=rgu9C&pd_rd_r=f49bb855-154d-4e5a-96e2-2762df75eea4&ref_=pd_gw_ci_mcx_mr_hp_atf_m&pageNumber=3,0
Best piece,Charging purpose,2022-11-12,,,Yes,Sooraj Pachouri,5.0,Original 25W Charger Super Fast Charging Charger Adapter Smartphone Charger Compatible for Samsung Galaxy S21/S21+/S21 Ultra/S20/S20+/S20 Ultra/ M51/M42/F23 5G/M53 5G/M52 5G/M33 (Only Adapter)-White,https://www.amazon.in/Original-Charger-Charging-Smartphone-Compatible/product-reviews/B0BLNFYF8H/?_encoding=UTF8&pd_rd_w=HgA4p&content-id=amzn1.sym.730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_p=730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_r=8NF2H16EMS6544MKW0VN&pd_rd_wg=rgu9C&pd_rd_r=f49bb855-154d-4e5a-96e2-2762df75eea4&ref_=pd_gw_ci_mcx_mr_hp_atf_m&pageNumber=3,0
Getting heat,It’s getting heat while charging and also making my iPhone and iWatch hot during charging.,2022-10-09,Style name: 18W - Dual Port / White,,Yes,Jiten,3.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/?_encoding=UTF8&pd_rd_w=HgA4p&content-id=amzn1.sym.730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_p=730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_r=8NF2H16EMS6544MKW0VN&pd_rd_wg=rgu9C&pd_rd_r=f49bb855-154d-4e5a-96e2-2762df75eea4&ref_=pd_gw_ci_mcx_mr_hp_atf_m&pageNumber=0,0
Problm solved,Note 20 ultra charging problm has been solved,2023-01-23,Style name: 18W - Dual Port / White,,Yes,Deepak,5.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/?_encoding=UTF8&pd_rd_w=HgA4p&content-id=amzn1.sym.730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_p=730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_r=8NF2H16EMS6544MKW0VN&pd_rd_wg=rgu9C&pd_rd_r=f49bb855-154d-4e5a-96e2-2762df75eea4&ref_=pd_gw_ci_mcx_mr_hp_atf_m&pageNumber=0,0
Not a 18 W charger,Either wrong description or wrong delivery. It is a 10W charger and NOT a 18 W charger,2022-07-21,Style name: 18W - Dual Port / White,,Yes,ACS,3.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/?_encoding=UTF8&pd_rd_w=HgA4p&content-id=amzn1.sym.730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_p=730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_r=8NF2H16EMS6544MKW0VN&pd_rd_wg=rgu9C&pd_rd_r=f49bb855-154d-4e5a-96e2-2762df75eea4&ref_=pd_gw_ci_mcx_mr_hp_atf_m&pageNumber=0,0
Getting heat,It’s getting heat while charging and also making my iPhone and iWatch hot during charging.,2022-10-09,Style name: 18W - Dual Port / White,,Yes,Jiten,3.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/?_encoding=UTF8&pd_rd_w=HgA4p&content-id=amzn1.sym.730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_p=730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_r=8NF2H16EMS6544MKW0VN&pd_rd_wg=rgu9C&pd_rd_r=f49bb855-154d-4e5a-96e2-2762df75eea4&ref_=pd_gw_ci_mcx_mr_hp_atf_m&pageNumber=1,0
Problm solved,Note 20 ultra charging problm has been solved,2023-01-23,Style name: 18W - Dual Port / White,,Yes,Deepak,5.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/?_encoding=UTF8&pd_rd_w=HgA4p&content-id=amzn1.sym.730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_p=730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_r=8NF2H16EMS6544MKW0VN&pd_rd_wg=rgu9C&pd_rd_r=f49bb855-154d-4e5a-96e2-2762df75eea4&ref_=pd_gw_ci_mcx_mr_hp_atf_m&pageNumber=1,0
Not a 18 W charger,Either wrong description or wrong delivery. It is a 10W charger and NOT a 18 W charger,2022-07-21,Style name: 18W - Dual Port / White,,Yes,ACS,3.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/?_encoding=UTF8&pd_rd_w=HgA4p&content-id=amzn1.sym.730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_p=730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_r=8NF2H16EMS6544MKW0VN&pd_rd_wg=rgu9C&pd_rd_r=f49bb855-154d-4e5a-96e2-2762df75eea4&ref_=pd_gw_ci_mcx_mr_hp_atf_m&pageNumber=1,0
Great.,Works flawlessly. Go for it.,2022-12-15,Style name: 18W - Dual Port / White,,Yes,Himanshu Kumar,5.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/?_encoding=UTF8&pd_rd_w=HgA4p&content-id=amzn1.sym.730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_p=730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_r=8NF2H16EMS6544MKW0VN&pd_rd_wg=rgu9C&pd_rd_r=f49bb855-154d-4e5a-96e2-2762df75eea4&ref_=pd_gw_ci_mcx_mr_hp_atf_m&pageNumber=2,0
Worth less product,After 2 month it's not work and totaly West of money. So don't purchase this my friend.,2023-02-17,Style name: 18W - Dual Port / White,,Yes,hemanta k.,1.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/?_encoding=UTF8&pd_rd_w=HgA4p&content-id=amzn1.sym.730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_p=730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_r=8NF2H16EMS6544MKW0VN&pd_rd_wg=rgu9C&pd_rd_r=f49bb855-154d-4e5a-96e2-2762df75eea4&ref_=pd_gw_ci_mcx_mr_hp_atf_m&pageNumber=2,0
Zero star. ..Don't buy it,Don't waste ur money. Only worked for first time.,2023-01-27,Style name: 18W - Dual Port / White,,Yes,HARIPRASAD,1.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/?_encoding=UTF8&pd_rd_w=HgA4p&content-id=amzn1.sym.730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_p=730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_r=8NF2H16EMS6544MKW0VN&pd_rd_wg=rgu9C&pd_rd_r=f49bb855-154d-4e5a-96e2-2762df75eea4&ref_=pd_gw_ci_mcx_mr_hp_atf_m&pageNumber=3,0
Worst product from Amazon,I have ordered 3 month ago. Now it's not working . I am unable to get power adaptor.,2023-01-07,Style name: 18W - Dual Port / White,https://m.media-amazon.com/images/I/61l+q8dwAuL._SY88.jpg,Yes,Sanju,1.0,"Amazon Basics 18W Dual Port USB Type C and USB Type A Fast Charging Wall Charger for Cellular Phones, Game Consoles, Headphones, MP3 Players, Speakers - White",https://www.amazon.in/Amazon-Basics-Charger-Charging-White/product-reviews/B09V6MPQ3V/?_encoding=UTF8&pd_rd_w=HgA4p&content-id=amzn1.sym.730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_p=730090a5-d1cb-4d65-a97c-9881819a53f1&pf_rd_r=8NF2H16EMS6544MKW0VN&pd_rd_wg=rgu9C&pd_rd_r=f49bb855-154d-4e5a-96e2-2762df75eea4&ref_=pd_gw_ci_mcx_mr_hp_atf_m&pageNumber=3,0
Over all good,I am not able to here my call recordings already saved ...,2023-02-11,"Size: 6GB RAM, 128GB Storage Colour: Black Dusk",,Yes,Mk,4.0,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/product-reviews/B09WQYFLRX/ref=zg-bs_1389432031_sccl_1/258-9771856-7503532?pd_rd_w=PE2Dg&content-id=amzn1.sym.40a67462-811c-4fe6-92cc-c87371e20166&pf_rd_p=40a67462-811c-4fe6-92cc-c87371e20166&pf_rd_r=29MMWY2N1QW0CYJMS68M&pd_rd_wg=dwjrV&pd_rd_r=e3794eef-1e4b-4234-a0e6-4fbe6f353a59&pd_rd_i=B09WQYFLRX&psc=1&pageNumber=3,0
Hang ho raha he or auto back ho jata he,Hang ho raha he,2023-02-01,"Size: 6GB RAM, 128GB Storage Colour: Blue Tide",,Yes,Bhadresh,4.0,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/product-reviews/B09WQYFLRX/ref=zg-bs_1389432031_sccl_1/258-9771856-7503532?pd_rd_w=PE2Dg&content-id=amzn1.sym.40a67462-811c-4fe6-92cc-c87371e20166&pf_rd_p=40a67462-811c-4fe6-92cc-c87371e20166&pf_rd_r=29MMWY2N1QW0CYJMS68M&pd_rd_wg=dwjrV&pd_rd_r=e3794eef-1e4b-4234-a0e6-4fbe6f353a59&pd_rd_i=B09WQYFLRX&psc=1&pageNumber=3,0
Like a phone nice .,West phone .,2023-02-07,"Size: 6GB RAM, 128GB Storage Colour: Blue Tide",,Yes,Ravi kumar,4.0,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/product-reviews/B09WQYFLRX/ref=zg-bs_1389432031_sccl_1/258-9771856-7503532?pd_rd_w=PE2Dg&content-id=amzn1.sym.40a67462-811c-4fe6-92cc-c87371e20166&pf_rd_p=40a67462-811c-4fe6-92cc-c87371e20166&pf_rd_r=29MMWY2N1QW0CYJMS68M&pd_rd_wg=dwjrV&pd_rd_r=e3794eef-1e4b-4234-a0e6-4fbe6f353a59&pd_rd_i=B09WQYFLRX&psc=1&pageNumber=4,0
Amoled display may be a good option.,Screen should be amoled,2023-02-02,"Size: 6GB RAM, 128GB Storage Colour: Black Dusk",,Yes,Shalendra choudhary,4.0,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/product-reviews/B09WQYFLRX/ref=zg-bs_1389432031_sccl_1/258-9771856-7503532?pd_rd_w=PE2Dg&content-id=amzn1.sym.40a67462-811c-4fe6-92cc-c87371e20166&pf_rd_p=40a67462-811c-4fe6-92cc-c87371e20166&pf_rd_r=29MMWY2N1QW0CYJMS68M&pd_rd_wg=dwjrV&pd_rd_r=e3794eef-1e4b-4234-a0e6-4fbe6f353a59&pd_rd_i=B09WQYFLRX&psc=1&pageNumber=4,0
Only average but price is too high,"प्राफोम्स में ठीक है लेकिन 25000 हजार में इतना अच्छा नही हैं,price jayda है",2023-02-02,,,Yes,Jasveer singh,4.0,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/product-reviews/B09WQYFLRX/ref=zg-bs_1389432031_sccl_1/258-9771856-7503532?pd_rd_w=PE2Dg&content-id=amzn1.sym.40a67462-811c-4fe6-92cc-c87371e20166&pf_rd_p=40a67462-811c-4fe6-92cc-c87371e20166&pf_rd_r=29MMWY2N1QW0CYJMS68M&pd_rd_wg=dwjrV&pd_rd_r=e3794eef-1e4b-4234-a0e6-4fbe6f353a59&pd_rd_i=B09WQYFLRX&psc=1&pageNumber=4,0
..,Handset is becoming hot while changing,2023-01-30,"Size: 6GB RAM, 128GB Storage Colour: Black Dusk",,Yes,AJINKYA,4.0,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/product-reviews/B09WQYFLRX/ref=zg-bs_1389432031_sccl_1/258-9771856-7503532?pd_rd_w=PE2Dg&content-id=amzn1.sym.40a67462-811c-4fe6-92cc-c87371e20166&pf_rd_p=40a67462-811c-4fe6-92cc-c87371e20166&pf_rd_r=29MMWY2N1QW0CYJMS68M&pd_rd_wg=dwjrV&pd_rd_r=e3794eef-1e4b-4234-a0e6-4fbe6f353a59&pd_rd_i=B09WQYFLRX&psc=1&pageNumber=4,0
"User interface, OS , battery, Camera are some good takes, but no fast charging is a drawback",Lagging fast charging,2023-01-27,"Size: 6GB RAM, 128GB Storage Colour: Black Dusk",,Yes,INDRA MOHAN,4.0,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/product-reviews/B09WQYFLRX/ref=zg-bs_1389432031_sccl_1/258-9771856-7503532?pd_rd_w=PE2Dg&content-id=amzn1.sym.40a67462-811c-4fe6-92cc-c87371e20166&pf_rd_p=40a67462-811c-4fe6-92cc-c87371e20166&pf_rd_r=29MMWY2N1QW0CYJMS68M&pd_rd_wg=dwjrV&pd_rd_r=e3794eef-1e4b-4234-a0e6-4fbe6f353a59&pd_rd_i=B09WQYFLRX&psc=1&pageNumber=5,0
Nyc phone camera 📸 is good,Budget phone,2023-01-24,"Size: 6GB RAM, 128GB Storage Colour: Black Dusk",,Yes,Harsh,4.0,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/product-reviews/B09WQYFLRX/ref=zg-bs_1389432031_sccl_1/258-9771856-7503532?pd_rd_w=PE2Dg&content-id=amzn1.sym.40a67462-811c-4fe6-92cc-c87371e20166&pf_rd_p=40a67462-811c-4fe6-92cc-c87371e20166&pf_rd_r=29MMWY2N1QW0CYJMS68M&pd_rd_wg=dwjrV&pd_rd_r=e3794eef-1e4b-4234-a0e6-4fbe6f353a59&pd_rd_i=B09WQYFLRX&psc=1&pageNumber=5,0
Ok,Average performance,2023-01-30,"Size: 6GB RAM, 128GB Storage Colour: Blue Tide",,Yes,V Sairam,4.0,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/product-reviews/B09WQYFLRX/ref=zg-bs_1389432031_sccl_1/258-9771856-7503532?pd_rd_w=PE2Dg&content-id=amzn1.sym.40a67462-811c-4fe6-92cc-c87371e20166&pf_rd_p=40a67462-811c-4fe6-92cc-c87371e20166&pf_rd_r=29MMWY2N1QW0CYJMS68M&pd_rd_wg=dwjrV&pd_rd_r=e3794eef-1e4b-4234-a0e6-4fbe6f353a59&pd_rd_i=B09WQYFLRX&psc=1&pageNumber=6,0
Over all good mobile.,This is a midrange OnePlus phone.,2023-01-10,"Size: 6GB RAM, 128GB Storage Colour: Blue Tide",,Yes,Sudhansu Sekhar Behera,4.0,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/product-reviews/B09WQYFLRX/ref=zg-bs_1389432031_sccl_1/258-9771856-7503532?pd_rd_w=PE2Dg&content-id=amzn1.sym.40a67462-811c-4fe6-92cc-c87371e20166&pf_rd_p=40a67462-811c-4fe6-92cc-c87371e20166&pf_rd_r=29MMWY2N1QW0CYJMS68M&pd_rd_wg=dwjrV&pd_rd_r=e3794eef-1e4b-4234-a0e6-4fbe6f353a59&pd_rd_i=B09WQYFLRX&psc=1&pageNumber=11,0
